provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,2847,,,SOLTEIRO FORCADO,"ANA CASTELA,BENICIO NETO,LEO SOUZA,LEO SOUZA,MATEUS FELIX,RAPHA SOARES,RODOLFO ALESSI,VINICIUS POETA",ANA CASTELA,FULL MIX,,,"WARNER CHAPPELL,WARNER CHAPPELL,FUSION MUSIC,PLAY JURIS,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",AGROPLAY,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,2847,,,PRECISO DIZER QUE TE AMO,"BEBEL GILBERTO,CAZUZA,DE",LETICIA LARANJA,,,,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5872,,,AUGUST,"JACK ANTONOFF,TAYLOR SWIFT",TAYLOR SWIFT,,,,"A DESCOBRIR,A DESCOBRIR","TAYLOR SWIFT, UNIVERSAL MUSIC PUBLISHING",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5872,,,AUGUST,"JACK ANTONOFF,TAYLOR SWIFT",AUGUST,,,,"A DESCOBRIR,A DESCOBRIR","TAYLOR SWIFT, UNIVERSAL MUSIC PUBLISHING",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5872,,,AUGUST,"JACK ANTONOFF,TAYLOR SWIFT",TAYLOR SWIFT,,,,"A DESCOBRIR,A DESCOBRIR","AYLOR SWIFT, UNIVERSAL MUSIC PUBLISHING",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5872,,,PARABENS A VOCE,"LEA MAGALHAES,MILDRED J HILL,PATTY S HILL",BANDA CARA DE PAU,,,,"WARNER CHAPPELL,DP,DP",INDEPENDENTE,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5872,,,AUGUST,"JACK ANTONOFF,TAYLOR SWIFT",TAYLOR SWIFT,,,,"A DESCOBRIR,A DESCOBRIR","TAYLOR SWIFT, UNIVERSAL MUSIC PUBLISHING",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5,,,UMA FLECHA  OKE ARO,"ANTONIO RISERIO,IARA RENNO","CURUMIN,IARA RENNÓ",,,,"A DESCOBRIR,ALTAFONTE",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5,,,BAILE SABOROSO,"HUGO PASSAQUIN,JOSE ANTONIO PEREIRA BRAZ,PEDRO MAIA","KING DOUDOU,MULÚ",,,,"ROCKING GORILLAS,ROCKING GORILLAS,ROCKING GORILLAS",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5,,,SURRA DE GROOVE,"CHIBATINHA,OZ,RAONI KANALHA,RDD",ATTOXXA,,,,"BMG,BMG,BMG,BMG",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5,,,UMA FLECHA  OKE ARO,"ANTONIO RISERIO,IARA RENNO","CURUMIN,IARA RENNO",,,,"A DESCOBRIR,ALTAFONTE",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5,,,XONA,RINCON SAPIENCIA,RINCON SAPIÊNCIA,,,,BMG,,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5,,,UMA FLECHA  OKE ARO,"ANTONIO RISERIO,IARA RENNO","CURUMIN,IARA RENNO",,,,"A DESCOBRIR,ALTAFONTE",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,5,,,SABOR DE MEL,AGAILTON SILVA,DAMARES,,,,SONY MUSIC PUBLISHING,,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,APACHE,"C COOK,J CHASE,M WRIGHT,S ROBINSON",THE SUGARHILL GANG,,,,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,DIN DIN DIN,"LUDMILLA,MC DOGUINHA,MC PUPIO",LUDMILLA,,,,"WARNER CHAPPELL,ORB MUSIC,ORB MUSIC",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,HOLIDAY FOR STRINGS (VOCAL),"DAVID ROSE,SAMMY GALLOP",HENRY JEROME,,,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,MARIA,"IAN BLAKE,K C PORTER,LUIZ GOMES ESCOLAR",RICKY MARTIN,,,,"SONY MUSIC PUBLISHING,UNIVERSAL MGB,FERMATA",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,MICHAEL DOUGLAS,JOAO BRASIL,JOAO BRASIL,,,,WARNER CHAPPELL,,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,NINGUEM E DE FERRO,"DANILLO DAVILLA,ELCIO DI CARVALHO,JUNIOR PEPATO,LARI FERREIRA,THALES LESSA","MARILIA MENDONCA,WESLEY SAFADAO",,,,"BMG,ABRAMUS,ABRAMUS,ABRAMUS,ABRAMUS",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,A NOVA LOIRA DO TCHAN,"CAL ADAN,DITO,JORGE ZARATH,RENATO FECHINE",FERDINANDO,,,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,RITMO DE FESTA,"JOBA,LAERTE FREIRE",SILVIO SANTOS,,,,"PEERMUSIC,PEERMUSIC",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,SORRY,"MADONNA,STUART PRICE",MADONNA,,,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,TELEPHONE,"BEYONCE KNOWLES,LADY GAGA,LASHAWN DANIELS,LAZONATE FRANKLIN,RODNEY JERKINS","BEYONCE,LADY GAGA",,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,PEERMUSIC",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,U CAN T TOUCH THIS,"ALONZO MILLER,MC HAMMER,RICK JAMES",MC HAMMER,,,,"SONY MUSIC PUBLISHING,BMG,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,GOGOBOYS,,,YOU CAN LEAVE YOUR HAT ON,RANDY NEWMAN,JOE COCKER,,,,WARNER CHAPPELL,,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,LOVE IS IN THE AIR,,,DEIXA ISSO PRA LA,"ALBERTO PAZ,EDSON MENEZES",FERDINANDO VQC,,,,"ADDAF,ADDAF",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,LOVE IS IN THE AIR,,,APENAS UM RAPAZ LATINO AMERICANO,BELCHIOR,JESSICA VQC,,,,FORTALEZA,,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,LOVE IS IN THE AIR,,,CRAZY IN LOVE,"BEYONCE KNOWLES,EUGENE RECORD,EUGENE RECORD,RICH HARRISON,SHAWN CARTER.",BEYONCE,,,,"SONY MUSIC PUBLISHING,A DESCOBRIR,WARNER CHAPPELL,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,LOVE IS IN THE AIR,,,NEGUE,"ADELINO MOREIRA,ENZO DE ALMEIDA PASSOS",MARIA BETHANIA,,,,"CAP MUSIC,CAP MUSIC",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,LOVE IS IN THE AIR,,,LOVE IS IN THE AIR,"GEORGE YOUNG,HARRY VANDA",JOHN PAUL YOUNG,,,,"BMG,BMG",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,LOVE IS IN THE AIR,,,TOXIC,"CATHY DENNIS,CHRISTIAN KARLSSON,HENRIK JONBACK,PONTUS WINNBERG",BRITNEY SPEARS,,,,"SONY MUSIC PUBLISHING,BMG,BMG,ABRAMUS",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,LOVE IS IN THE AIR,,,TOXIC,"CATHY DENNIS,CHRISTIAN KARLSSON,HENRIK JONBACK,PONTUS WINNBERG",BRITNEY SPEARS,,,,"SONY MUSIC PUBLISHING,BMG,BMG,ABRAMUS",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,LOVE IS IN THE AIR,,,TOXIC,"CATHY DENNIS,CHRISTIAN KARLSSON,HENRIK JONBACK,PONTUS WINNBERG",BRITNEY SPEARS,,,,"SONY MUSIC PUBLISHING,BMG,BMG,ABRAMUS",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,01/08/2023,LOVE IS IN THE AIR,,,TOXIC,"CATHY DENNIS,CHRISTIAN KARLSSON,HENRIK JONBACK,PONTUS WINNBERG",BRITNEY SPEARS,,,,"SONY MUSIC PUBLISHING,BMG,BMG,ABRAMUS",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,2848,,,ALL STAR,GREG CAMP,SMASH MOUTH,,,,ABRAMUS,"INTERSCOPE, PULSE PUBLISHING",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,2848,,,BREAK MY SOUL,"ADAM PIGOTT,ALLEN GEORGE,BEYONCE KNOWLES,CHRISTOPHER STEWART,FRED MCFARLANE,FREDDIE ROSS,SHAWN CARTER,TERIUS NASH",BEYONCE,,,,"ABRAMUS,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,A DESCOBRIR,SONY MUSIC PUBLISHING,ABRAMUS,SONY MUSIC PUBLISHING,WARNER CHAPPELL","PARKWOOD ENTERTAINMENT/COLUMBIA, SPIRIT MUSIC GROU",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,2848,,,BREAK MY SOUL,"ADAM PIGOTT,ALLEN GEORGE,BEYONCE KNOWLES,CHRISTOPHER STEWART,FRED MCFARLANE,FREDDIE ROSS,SHAWN CARTER,TERIUS NASH",BEYONCÉJ,,,,"ABRAMUS,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,A DESCOBRIR,SONY MUSIC PUBLISHING,ABRAMUS,SONY MUSIC PUBLISHING,WARNER CHAPPELL","PARKWOOD ENTERTAINMENT/COLUMBIA, SPIRIT MUSIC GROU",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,2848,,,BREAK MY SOUL,"ADAM PIGOTT,ALLEN GEORGE,BEYONCE KNOWLES,CHRISTOPHER STEWART,FRED MCFARLANE,FREDDIE ROSS,SHAWN CARTER,TERIUS NASH",BEYONCÉ,,,,"ABRAMUS,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,A DESCOBRIR,SONY MUSIC PUBLISHING,ABRAMUS,SONY MUSIC PUBLISHING,WARNER CHAPPELL","PARKWOOD ENTERTAINMENT/COLUMBIA, SPIRIT MUSIC GROU",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,2848,,,BREAK MY SOUL,"ADAM PIGOTT,ALLEN GEORGE,BEYONCE KNOWLES,CHRISTOPHER STEWART,FRED MCFARLANE,FREDDIE ROSS,SHAWN CARTER,TERIUS NASH",BEYONCÉ,,,,"ABRAMUS,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,A DESCOBRIR,SONY MUSIC PUBLISHING,ABRAMUS,SONY MUSIC PUBLISHING,WARNER CHAPPELL","PARKWOOD ENTERTAINMENT/COLUMBIA, SPIRIT MUSIC GROU",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,2848,,,SUMMER RENAISSANCE,"ATIA INK BOGGS,BEYONCE,BRITTANY CONEY,DENISIA ANDREWS,DERRICK CARRINGTON GRAY,DONNA SUMMER,GIORGIO MORODER,LARRY HEARD,LEVAR COPPIN,LEVEN KALI,MIKE DEAN,PETER BELLOTTE,RICKY LAWSON,SALIOU DIAGNE,SOL WAS,TERIUS YOUNGDELL NASH",BEYONCÉ,,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,A DESCOBRIR,A DESCOBRIR,A DESCOBRIR,A DESCOBRIR,A DESCOBRIR,A DESCOBRIR,ROCKING GORILLAS,A DESCOBRIR,A DESCOBRIR,A DESCOBRIR,A DESCOBRIR,ROCKING GORILLAS,A DESCOBRIR,A DESCOBRIR","PARKWOOD ENTERTAINMENT/COLUMBIA, SONY MUSIC PUBLI",,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,2848,,,TOCA NA RAINHA,MURILO FERNANDYS,MURILO FERNANDYS,,,,A DESCOBRIR,,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,5873,,,TENTE OUTRA VEZ,"MARCELO MOTTA,PAULO COELHO,RAUL SEIXAS,RAUL SEIXAS",BARÃO VERMELHO,,,,"WARNER CHAPPELL,WARNER CHAPPELL,NOWA,WARNER CHAPPELL",WM BRAZIL,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,5873,,,TENTE OUTRA VEZ,"MARCELO MOTTA,PAULO COELHO,RAUL SEIXAS,RAUL SEIXAS",BARÃO VERMELHO,,,,"WARNER CHAPPELL,WARNER CHAPPELL,NOWA,WARNER CHAPPELL",WM BRAZIL,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,5873,,,FUZUE,"KALEW SOARES,KAUE SEGUNDEIRO,MICHEL TELO,NEWTON FONSECA,SHYLTON FERNANDES",MICHEL TELO,FULL MIX,,,"MILIONARIOS HITS,BMG,PANTTANAL,PANTTANAL,WARNER CHAPPELL",UNIVERSAL MUSIC,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,5873,,,ERVA VENENOSA,"JERRY LEIBER,MIKE STOLLER,ROSSINI PINTO",RITA LEE,FULL MIX,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",UNIVERSAL MUSIC,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,5873,,,PSYCHO KILLER,"CHRIS FRANTZ,DAVID BYRNE,NARTINA WEYMOUT",TALKING HEADS,,,,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",RHINO/WARNER RECORDS,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,5873,,,PSYCHO KILLER,"CHRIS FRANTZ,DAVID BYRNE,NARTINA WEYMOUT",TALKING HEADS,,,,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",RHINO/WARNER RECORDS,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,5873,,,PARABENS A VOCE,"LEA MAGALHAES,MILDRED J HILL,PATTY S HILL",BANDA CARA DE PAU,,,,"WARNER CHAPPELL,DP,DP",INDEPENDENTE,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,5873,,,TENTE OUTRA VEZ,"MARCELO MOTTA,PAULO COELHO,RAUL SEIXAS,RAUL SEIXAS",BARÃO VERMELHO,,,,"WARNER CHAPPELL,WARNER CHAPPELL,NOWA,WARNER CHAPPELL",WM BRAZIL,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,2082023,,,VAI NOVINHA AH AH AH CITACAO O CHERO DE CAROLINA,"AMORIM ROXO,DJ RAFAEL FELIX,DYAMANTE DJ,ZE GONZAGA",YURI HAWAIANO,,,,"MANGIONE,DECK,WAL MUSIC LTDA,MANGIONE",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,2082023,,,LOVEZINHO,"NATE HILLS,NELLY FURTADO,TIM MOSLEY,TREYCE,WK",NAO IDENTIFICADO,,,,"ROCKING GORILLAS,SONY MUSIC PUBLISHING,PEERMUSIC,A DESCOBRIR,WARNER CHAPPELL",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,ALEJANDRO,"LADY GAGA,REDONE",LADY GAGA,,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",INTERSCOPE,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,ALEJANDRO,"LADY GAGA,REDONE","ALEJANDRO VQC,FERDINANDO",,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,BATUCADA 2,DUDU NOBRE,DUDU NOBRE,,,,UNIVERSAL MGB,EMI MUSIC BRASIL LTDA,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,CARNAVAL GLOBELEZA,"FRANCO,JORGE ARAGAO",FERDINANDO,,,,"UNIVERSAL MGB,WARNER CHAPPELL",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,CARNAVAL GLOBELEZA,"FRANCO,JORGE ARAGAO",JORGE ARAGAO,,,,"UNIVERSAL MGB,WARNER CHAPPELL",SOM LIVRE,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,DANCA DA VASSOURA,"ANDERSON LEONARDO,DELCIO LUIZ",MOLEJO,,,,"WARNER CHAPPELL,WARNER CHAPPELL",WM BRAZIL,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,DANCA DA VASSOURA,"ANDERSON LEONARDO,DELCIO LUIZ",ALEJANDRO VQC,,,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,EYE OF THE TIGER,"FRANKIE SULLIVAN,JIM PETERIK",SURVIVOR,,,,"SONY MUSIC PUBLISHING,WARNER CHAPPELL",VOLCANO/LEGACY,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,FAROL DAS ESTRELAS,"ALTAY VELOSO,PAULO CESAR FEITAL",FERDINANDO,,,,"WARNER CHAPPELL,PEERMUSIC",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,IRONSIDE,QUINCY JONES,QUINCY JONES,,,,UNIVERSAL MGB,A&M JAZZ,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,ISSO E HIT,"FABIO ALCANTARA,FAGNER FERREIRA,FILIPE ESCANDURRAS",HARMONIA DO SAMBA,,,,"ABRAMUS,ABRAMUS,ABRAMUS",GUFO RECORDS,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,LOCA  ENGLISH VERSION,"ARMANDO CHRISTIAN PEREZ,CARLOS DANIEL CRESPO,DYLAN MILLS,EDWARD BELLO,EDWARD BELLO,SHAKIRA",ALEJANDRO VQC,,,,"A DESCOBRIR,ABRAMUS,ABRAMUS,BMG,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,MARIA,"IAN BLAKE,K C PORTER,LUIZ GOMES ESCOLAR",RICKY MARTIN,,,,"SONY MUSIC PUBLISHING,UNIVERSAL MGB,FERMATA",SONY DISCOS,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,MARIA,"IAN BLAKE,K C PORTER,LUIZ GOMES ESCOLAR",ALEJANDRO VQC,,,,"SONY MUSIC PUBLISHING,UNIVERSAL MGB,FERMATA",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,TESOURO DO PIRATA,"JEFFERSON FUZUE,MARCELO MENEZES",TCHAKABUM,,,,"SONY MUSIC PUBLISHING,UNIVERSAL MGB",TCHAKABUM,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,TUA BOCA,"RONALDO MONTEIRO DE SOUZA,SERGIO SARACENI",BELO,,,,"SONY MUSIC PUBLISHING,UNIVERSAL MGB",EMI BRAZIL,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,TA ESCRITO,"CARLINHOS MADUREIRA,GILSON BERNINI,XANDE DE PILARES",XANDE DE PILARES,,,,"WARNER CHAPPELL,UNIVERSAL MGB,UNIVERSAL MGB",UNIVERSAL MUSIC LTDA.,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,RESPEITE A FAIXA,,,E HOJE,"DIDI,MESTRINHO",UNIÃO DA ILHA,,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",TOP TAPE,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,SUPER  FERDI CONTRA O BAIXO ASTRAL,,,ARCO IRIS,"ANA PENIDO,MICHAEL SULLIVAN,MIGUEL PLOPSCHI,PAULO MASSADAS",XUXA,,,,"PEERMUSIC,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,SUPER  FERDI CONTRA O BAIXO ASTRAL,,,GAROTA NOTA 100,"MICHAEL SULLIVAN,MIGUEL PLOPSCHI,PAULO MASSADAS",CELIO VQC,,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,SUPER  FERDI CONTRA O BAIXO ASTRAL,,,DANCA DA MOTINHA,"DENNIS DJ,MC BETH",CELIO VQC,,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,SUPER  FERDI CONTRA O BAIXO ASTRAL,,,ABECEDARIO DA XUXA,"CESAR COSTA FILHO,RONALDO MONTEIRO DE SOUZA",XUXA,,,,"PEERMUSIC,PEERMUSIC",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,SUPER  FERDI CONTRA O BAIXO ASTRAL,,,ABECEDARIO DA XUXA,"CESAR COSTA FILHO,RONALDO MONTEIRO DE SOUZA",XUXA,,,,"PEERMUSIC,PEERMUSIC",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,SUPER  FERDI CONTRA O BAIXO ASTRAL,,,ABECEDARIO DA XUXA,"CESAR COSTA FILHO,RONALDO MONTEIRO DE SOUZA",FERDINANDO VQC,,,,"PEERMUSIC,PEERMUSIC",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,SUPER  FERDI CONTRA O BAIXO ASTRAL,,,1 2 3,"MICHAEL SULLIVAN,PAULO MASSADAS",BOZO,,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,,02/08/2023,SUPER  FERDI CONTRA O BAIXO ASTRAL,,,PIUI ABACAXI,MENDES JUNIOR,TREM DA ALEGRIA,,,,WARNER CHAPPELL,,,,0,0
