provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,,,,,,TV FECHADA,,,TV FECHADA,,,,,,,0,0
